,Unnamed: 0,ticker,option_symbol,expiry,strike,type,is_itm,entry_range,ask,model_prob,tp_target,sl_target,impliedVolatility,kelly_fraction,expected_profit,run_timestamp,iv,volatility_regime
268,268,SPY,SPY260123P00693000,2026-01-23,693.0,put,True,$4.10 - $4.13,4.13,0.74,633.7771722573723,3.500318020336707,0.0965666516113281,0.2317864851296719,0.5298310248994754,2026-01-18 23:16:55.682196,,
269,269,SPY,SPY260123P00694000,2026-01-23,694.0,put,True,$4.51 - $4.62,4.62,0.76,634.8329447697693,4.1688223479696225,0.0936980279541015,0.2612157582066308,0.6781475290009084,2026-01-18 23:16:55.682196,,
270,270,SPY,SPY260123P00695000,2026-01-23,695.0,put,True,$5.10 - $5.16,5.16,0.77,635.8918117894648,4.916704067865485,0.0907683697509765,0.2802299129952766,0.808759964451615,2026-01-18 23:16:55.682196,,
271,271,SPY,SPY260123P00696000,2026-01-23,696.0,put,True,$5.62 - $5.83,5.83,0.775,636.9556938993051,5.758142212574575,0.090280093383789,0.2766374062541432,0.8520982576773353,2026-01-18 23:16:55.682196,,
272,272,SPY,SPY260123P00697000,2026-01-23,697.0,put,True,$6.26 - $6.52,6.52,0.79,638.0218622420464,6.636264463521333,0.0889373333740234,0.2758213329611678,0.8956680327887877,2026-01-18 23:16:55.682196,,
273,273,SPY,SPY260123P00698000,2026-01-23,698.0,put,True,$6.95 - $7.24,7.24,0.825,639.0904344810831,7.547600689692173,0.086923193359375,0.2755331441120585,0.9305819293140936,2026-01-18 23:16:55.682196,,
274,274,SPY,SPY260123P00699000,2026-01-23,699.0,put,True,$7.72 - $7.99,7.99,0.83,640.1613061263467,8.485434497064015,0.0841156042480469,0.2758000424289555,0.9567006044149344,2026-01-18 23:16:55.682196,,
275,275,SPY,SPY260123P00700000,2026-01-23,700.0,put,True,$8.55 - $8.80,8.8,0.85,641.2353281789894,9.445520244748668,0.0819183605957031,0.2736074133877034,0.9548434607827768,2026-01-18 23:16:55.682196,,
276,276,SPY,SPY260123P00701000,2026-01-23,701.0,put,True,$9.36 - $9.67,9.67,0.85,642.3124577339289,10.417692142016625,0.0806976696777343,0.27016081537359,0.9293070158094542,2026-01-18 23:16:55.682196,,
277,277,SPY,SPY260123P00702000,2026-01-23,702.0,put,True,$10.27 - $10.57,10.57,0.86,643.3919271113507,11.394883895620884,0.0795990478515625,0.2702256568780593,0.904647394678064,2026-01-18 23:16:55.682196,,
292,292,SPY,SPY260126P00685000,2026-01-26,685.0,put,False,$2.03 - $2.05,2.05,0.675,625.4575389007674,1.7889622557166711,0.1076139044189453,0.2287980411862577,0.3842572353629263,2026-01-18 23:16:55.682196,,
293,293,SPY,SPY260126P00690000,2026-01-26,690.0,put,False,$3.35 - $3.38,3.38,0.725,630.6728196099427,3.9054436965747255,0.0960783752441406,0.4141035259111331,1.4358019190419138,2026-01-18 23:16:55.682196,,
294,294,SPY,SPY260126P00695000,2026-01-26,695.0,put,True,$5.43 - $5.63,5.63,0.775,635.9463964771588,7.379159415740772,0.0857635369873047,0.4150014721625321,2.240443804886516,2026-01-18 23:16:55.682196,,
295,295,SPY,SPY260126P00700000,2026-01-26,700.0,put,True,$8.70 - $9.02,9.02,0.825,641.2724807726976,11.753811238956256,0.0758149060058593,0.3628901284701873,2.3160330676986063,2026-01-18 23:16:55.682196,,
